名称,户型,面积,朝向,是否装修,有无电梯,总价,单价,产权信息
风华里 户型好 通风视眼好 全新毛坯 业主诚心出售,3室2厅,125平米,南,毛坯,30层,538,43040,共有
仲雅苑三室诚心出售，急卖。急卖。,3室2厅,101.91平米,南,简装,中楼层(共11层),298,29242,共有
多层 得房率喜人 通透合一户型方正 难得的房型,3室2厅,89平米,南,简装,高楼层(共6层),135,15169,共有
海星生活广场 3室2厅 南,3室2厅,89.6平米,南,简装,高楼层(共32层),202,22545,共有
华侨，自住装修，采光好，拎包入住。两个产证车库,2室2厅,96平米,南,精装,中楼层(共5层),270.8,28209,共有
枫华广场一号线旁精装出售公寓小房间带朝外开窗户,3室1厅,45.38平米,北,精装,中楼层(共13层),62,13663,共有
越湖名邸 精装修 地铁口 房东诚心出售,3室2厅,120.44平米,南 北,精装,低楼层(共11层),268,22252,共有
此房满两年，3房格局好，高楼层视野好无遮挡。,3室2厅,84.5平米,南,简装,高楼层(共11层),186.6,22083,共有
房东急售 南北 大三房 教科院 价格可谈,3室2厅,125.24平米,南,毛坯,低楼层(共23层),320,25551,非共有
有产证 可贷款 繁华商圈 距离地铁口800米,2室2厅,114平米,南,毛坯,中楼层(共17层),135,11843,共有
孙武花园 3室2厅 南,3室2厅,136平米,南,毛坯,低楼层(共11层),155,11398,共有
永林二区，精装修3房，南北通风，采光好,3室1厅,85.07平米,南,精装,中楼层(共7层),229,26920,共有
房子是满五年唯一，免个税，看房有钥匙，随时看房,3室1厅,79.93平米,南,精装,低楼层(共6层),204,25523,非共有
万科魅力花园 3室1厅 南 北,3室1厅,85.77平米,南 北,精装,低楼层(共34层),165,19238,共有
总价低，两房一厅一卫，年代新，临地铁。装修好,2室2厅,49平米,北,精装,高楼层(共18层),69,14082,共有
碧桂园云栖麓 精装三房 大横厅 带地暖 看房随时有钥匙,3室2厅,94.66平米,南,精装,低楼层(共18层),258,27256,共有
房源维护人、赵备战为你推荐新城域五期三房、有钥匙,3室2厅,89平米,南 北,精装,高楼层(共11层),142,15956,共有
满五唯一，顶楼带露台采光好，5号线口，户型方正！,3室2厅,139.37平米,南 北,精装,6层,269,19302,共有
枫情一期高楼层东边户，精装修品质高，适合改善客户,3室2厅,143.86平米,南,精装,中楼层(共18层),635,44141,非共有
房东诚意出售，急售好房，房子满二年，税费少,3室1厅,75.12平米,北 南,精装,中楼层(共4层),240,31949,共有
香城花园 三区，生活设施齐全，精装大三房 带自库,3室2厅,124.13平米,南 北,精装,高楼层(共6层),280,22557,共有
和美家园,两房出门地铁,诚信出售,3室1厅,69.29平米,南,精装,高楼层(共30层),150,21649,非共有
平江新城板块 清水毛坯 高楼层采光好,2室2厅,71.47平米,南,毛坯,高楼层(共30层),176,24626,共有
此房不满两年 中间楼层采光无遮挡 诚心出售看房请预约,3室2厅,107.52平米,南,毛坯,中楼层(共26层),296,27530,非共有
新区港龙城 精装修公寓出售 价格合适 速来抢,2室2厅,50平米,南,精装,中楼层(共18层),71.8,14352,非共有
东外滩精装带地暖三开间朝南，景观楼层，看房有钥匙,3室2厅,98平米,南,精装,高楼层(共33层),193,19694,共有
随时看背靠政府，近公园，采光好，装修宋，正气两居室,2室2厅,80.75平米,南,精装,低楼层(共24层),104,12880,共有
三元三村 低楼层 两房朝南 全明户型 双阳台 诚售,2室1厅,67.06平米,南,简装,6层,154.6,23054,共有
Mr.王推荐北临徐公桥小 学，东邻徐公桥中 学，楼层好,3室2厅,117平米,南 北,简装,低楼层(共6层),182,15556,共有
御庭 大两房 满两年无贷款 景观视野 有钥匙随时看,2室1厅,89平米,南 北,毛坯,高楼层(共30层),151,16967,共有
凯德两房，采光好，居家温馨，地铁出行,3室2厅,136.51平米,南,精装,低楼层(共34层),315,23076,共有
通海旁临湖景苑简装两房，诚心出售，价格合适就卖,2室2厅,86平米,南,简装,高楼层(共6层),99.9,11617,共有
此房精装修有钥匙！朝南！ 满2年 楼层高 视野好,3室2厅,105平米,南,精装,中楼层(共25层),410,39048,共有
惠宇华庭简装两室 房龄新 高楼层 采光好 位置好 满2年,2室2厅,74.17平米,南,精装,中楼层(共27层),207,27909,非共有
中大未来城 4室2厅 南 北,4室2厅,143平米,南 北,毛坯,低楼层(共20层),427,29861,非共有
一梯两户 两房朝南 厨卫朝北 全明户型 非顶楼 诚售,2室1厅,60.1平米,南,精装,高楼层(共6层),147,24460,共有
地铁口六号线 清水毛坯 位置安静 诚心出售,2室1厅,60.05平米,南,毛坯,低楼层(共25层),114,18985,非共有
姑苏裕沁庭品质小区全新未住过，边户通透无遮挡视野好,2室1厅,89平米,南,精装,31层,235,26405,共有
房子刚装修好未住过人，房东现长期在上海比较着急出售,3室2厅,98.41平米,南,简装,30层,418,42476,共有
青湖语城湖景三房高楼层采光好满五税少学Q未用,3室2厅,85.31平米,南 北,精装,中楼层(共11层),269,31533,非共有
新旅诚精装通透两房 中上楼层 诚采光好,2室2厅,91.39平米,南,精装,中楼层(共17层),198,21666,共有
推荐：中间楼层大两房，业主急售。随时可看房。,2室2厅,81.82平米,南,毛坯,中楼层(共33层),118,14422,共有
迎春华府低总价两房高楼层采光好 双阳台已封好,2室2厅,75.04平米,南 北,毛坯,高楼层(共18层),147.8,19697,非共有
满二年 精装自住保养好 看房随时 高楼层 采光好,2室2厅,81.74平米,南,精装,高楼层(共27层),399,48814,共有
万科品质，中高楼层，刚需两房，满2年,2室2厅,79.58平米,南,简装,中楼层(共15层),191,24002,共有
单价5.8w，满5年，学*未用，随时可签,3室2厅,118.06平米,南 北,精装,低楼层(共26层),660,55904,共有
尚品汇精装公寓，挑高5米买一层得一层，无需社保,2室2厅,53.51平米,北,精装,高楼层(共15层),69.9,13063,非共有
满五唯一精装修，地铁一号线500米，万科美好广场,2室1厅,70.92平米,南,精装,低楼层(共6层),195,27496,非共有
大德世家 2室2厅 南,2室2厅,89平米,南,精装,中楼层(共7层),163,18315,共有
柠府中高楼层 视野开阔无遮挡 纯毛坯边户三房,3室1厅,95平米,南,毛坯,高楼层(共18层),240,25264,共有
万科精装修，小三房，户型方正，阳光充足,3室1厅,83平米,南 北,精装,低楼层(共34层),144,17350,共有
户型好    楼层好     采光充足,3室2厅,88.6平米,南,毛坯,高楼层(共34层),152,17156,共有
小区中间位置，采光刺眼不靠高架，拎包入住，密码钥匙,3室1厅,89.5平米,南,精装,低楼层(共25层),195,21788,共有
满五唯一 精装15万 用材实在 南北通两房 业主诚心出售,2室2厅,76.75平米,南,精装,低楼层(共28层),168,21890,共有
不靠高铁，东边户中上楼层采光很好，看房有钥匙,2室2厅,80.34平米,南,毛坯,高楼层(共30层),158,19667,共有
诚心出售 看房有钥匙 满五唯一  带买断汽车库,3室2厅,107.5平米,南,精装,中楼层(共5层),270.9,25200,共有
房东诚心出售，带大露台，毛坯房，总价超低,2室2厅,87.14平米,南,简装,高楼层(共26层),175,20083,共有
地铁口朝南精装修拎包入住房东急卖,2室1厅,70.24平米,南,精装,低楼层(共24层),80.9,11518,非共有
此房满五唯一，采光充足.装修70万,4室1厅,170.69平米,南,精装,低楼层(共25层),310,18162,非共有
精装两房 楼幢位置好 不靠马路 楼层采光好 诚心出售,2室2厅,100.85平米,南,精装,高楼层(共27层),370,36689,非共有
此房满五唯一，小区中间位置，楼层采光不挡，格局明朗,3室2厅,117.15平米,南 北,精装,24层,488,41656,共有
2房层高4.9米loft开发商精装修楼层好可看,2室1厅,47.03平米,南 北,精装,中楼层(共10层),75,15948,非共有
梅亭苑中间楼层带20平大车库采光好无遮挡,3室1厅,77.99平米,南 北,精装,中楼层(共5层),187,23978,非共有
胥江路136号 中间楼层 双轨沿线 全明户型业主诚心出售,2室2厅,80.14平米,南,简装,中楼层(共6层),179,22336,非共有
新庄新村 2室1厅 南,2室1厅,66平米,南,简装,6层,131.8,19970,非共有
和风雅致 品质3房  中楼层  满五年  保养佳,3室1厅,126.32平米,南 北,精装,中楼层(共11层),890,70456,共有
户型方正，通透性好，高楼层，视野开阔，,3室2厅,114.31平米,南,毛坯,25层,488,42691,非共有
中海四区精装二房，满五唯一，省个税，家电全留。,2室2厅,89.8平米,南,精装,低楼层(共25层),359,39978,共有
南山F户型，精装看好可谈，采光好，有钥匙,3室2厅,86.86平米,南,精装,低楼层(共25层),199,22911,共有
彩香二村，小复式，三房朝南，带大露台，家具家电全留,3室1厅,90平米,南,精装,高楼层(共6层),168,18667,非共有
红峰新村，中间楼层，满五唯一。,2室2厅,75.34平米,南,简装,中楼层(共4层),262,34776,共有
尹山湖畔，品质洋房，精装近40万,金螳螂操刀,3室1厅,126平米,南,精装,高楼层(共9层),379,30080,非共有
婚房，全新装修，地板铺着红毯，家电家具新的全是品牌,3室2厅,89.3平米,南,精装,高楼层(共18层),220,24637,共有
阳光水韵 2室1厅 南,2室1厅,71平米,南,精装,高楼层(共6层),175,24648,非共有
中间位置，中高楼层，景观房，少税，保养灰常好！,4室2厅,166.2平米,南 北,精装,中楼层(共18层),870,52347,非共有
全新精装修 户型方正 满五唯一，诚心出售，随时看房，,3室2厅,93.6平米,南,精装,高楼层(共32层),235,25107,共有
时家园 3室2厅 南,3室2厅,142平米,南,精装,中楼层(共7层),350,24648,共有
央企满二，精装自住保养好，超长楼间距一线湖景中间层,3室2厅,94.32平米,南,精装,中楼层(共30层),306,32443,共有
地铁口，精装修大3房，自住房保养好，楼层很好视野棒,3室2厅,135平米,南,精装,中楼层(共11层),262.5,19445,共有
中海御景湾高层  前排位置  采光好  视野开阔,3室1厅,89平米,南,简装,低楼层(共39层),195,21911,共有
万科精装江景大4房，满2税少，业主诚心 出售,4室2厅,117平米,南 北,精装,中楼层(共34层),223,19060,共有
精装全配，大三房，拎包入住多多推荐,3室1厅,94.53平米,南,精装,低楼层(共35层),148,15657,共有
三房间朝南 带车库和租约汽车位 看房方便,3室2厅,103平米,南 北,精装,低楼层(共6层),226,21942,共有
此房满五唯一，装修保养如新， 中高楼层，采光好。,3室2厅,83.5平米,南,精装,高楼层(共12层),118,14132,共有
鑫苑世家 3室2厅 南,3室2厅,91.1平米,南,简装,中楼层(共6层),210,23052,共有
一梯一户，现代简约装修，全屋中y空调，拎包入住,3室2厅,96.18平米,南,精装,高楼层(共18层),265,27553,非共有
鑫苑国际大户，精装带地暖，自住保养好，诚意卖,3室2厅,100.83平米,南,精装,低楼层(共24层),333,33026,非共有
朗沁花园 3室1厅 南,3室1厅,89平米,南,精装,中楼层(共11层),186,20899,共有
三元一村 3室1厅 南,3室1厅,68.9平米,南,精装,中楼层(共6层),172,24964,非共有
此房楼层好采光好.精装.保养很好.诚心出售,3室2厅,138.54平米,南,精装,高楼层(共5层),249.5,18010,非共有
现代风格装修满五年业主诚心出售随时可看价格可谈。,3室2厅,84.9平米,南,精装,高楼层(共39层),213,25089,共有
万科洋房 中高楼层前后无遮挡 阳光充足,3室2厅,86平米,东南,精装,高楼层(共11层),180,20931,共有
成熟品质小区，生活便利，出行方便,2室1厅,82.5平米,南,精装,中楼层(共5层),189,22910,共有
房子满五唯一，精装修，保养好，,3室2厅,89.6平米,南,精装,中楼层(共18层),169.5,18918,共有
国基城邦逸墅 3室2厅 南,3室2厅,98平米,南,精装,中楼层(共23层),185,18878,非共有
电梯房顶带阁，利用空间大，精装修，拎包入住,3室2厅,96.39平米,南,精装,高楼层(共5层),132,13695,共有
舒适三房，产权清晰，业主诚意出售，看房方便！,3室2厅,118平米,南 北,简装,中楼层(共5层),160,13560,共有
林枫苑，中间户三房，中等楼层，随时可以看房,3室2厅,95.8平米,南,简装,低楼层(共6层),210,21921,非共有
维护人凌推荐/诚心出售，满五唯一，方便随时看房,2室2厅,88平米,南,简装,高楼层(共25层),165.5,18807,非共有
花桥S1 嘉宝2+1户型 自住精装全配 满两年 诚意出售,3室2厅,89平米,南,精装,34层,189.9,21338,共有
蝶湖湾 大三房 置换选择  房东诚心出售 好房欲购从速,3室2厅,172.4平米,南,简装,中楼层(共48层),163,9455,非共有
装修可以直接拎包入住中上楼层舒适居,2室2厅,82.67平米,南,精装,低楼层(共20层),163.5,19778,共有
独墅湖畔 湖岸名家  42平 70年住宅小户,1室1厅,41.87平米,南,精装,中楼层(共16层),113,26989,非共有
联排大别墅 使用面积大 满五唯一 精装带电梯,6室3厅,234.08平米,南,精装,1层,770,32895,共有
珍珠湾花园毛坯刚需两室两厅一厨一卫出售,2室2厅,84平米,南 北,毛坯,中楼层(共25层),145,17262,共有
湖滨一号湖景五房，二次改装30万。,5室2厅,162.36平米,南,精装,中楼层(共28层),1225,75450,共有
首付21万，诚心推荐万科电梯洋房；适合小夫妻或者单身,1室1厅,42平米,西,精装,中楼层(共9层),69,16429,非共有
橄榄湾精装自住两房，诚心急售，万科物业，看房有钥匙,2室2厅,88.6平米,南,精装,中楼层(共26层),288,32506,共有
精装小三房，保养全新，可拎包入住，家具家电全留,3室2厅,95.17平米,南,精装,25层,425,44657,非共有
万科中间位置、复式房、诚意出售！！！,4室2厅,108.92平米,南 北,简装,中楼层(共11层),223,20474,非共有
上海裕花园 双南户型 采光好 交通便利,2室2厅,93.24平米,南,毛坯,高楼层(共28层),168,18019,共有
新城金郡精装两房  家具家电全留中间楼层,2室2厅,81.87平米,南,精装,中楼层(共17层),179,21864,共有
金郡北区经典两房 户型好 满二年 自住房 诚心出售,2室2厅,87.63平米,南,精装,低楼层(共16层),195,22253,共有
近上海 启航社U时代 一房毛坯 采光充足 视野开阔 朝南,1室1厅,46.55平米,南,毛坯,低楼层(共18层),75,16112,非共有
好房出售，一楼下叠，无遮挡。。,4室2厅,235.32平米,南,毛坯,低楼层(共27层),270,11474,共有
永林新村、精装一室一厅、中间楼层,1室1厅,30.84平米,南,精装,中楼层(共5层),80,25941,非共有
美岸青城幸福里 2室2厅 南 北,2室2厅,83.59平米,南 北,精装,中楼层(共6层),149.9,17933,非共有
好房来了 国风华府 满五唯一 精装修 家具家电全留,2室2厅,89.13平米,南,精装,高楼层(共11层),205,22998,共有
临湖洋房，阳台可看湖景，首付30万精装修,1室1厅,64.33平米,南,毛坯,中楼层(共5层),92,14302,共有
湖景房 满两年 楼层佳 采光好 视野宽阔  有车位,2室2厅,88.97平米,南,毛坯,中楼层(共33层),225,25290,共有
房东置换 诚心出售此房 安亭老街1公里 看房有钥匙,2室2厅,89.68平米,南 北,精装,低楼层(共3层),136.8,15255,共有
小三房户型 楼层好采光佳，看房方便,3室2厅,89.28平米,南 北,毛坯,低楼层(共11层),115,12881,共有
上海产权满两年，此房户型方正采光好,2室2厅,81.55平米,南,毛坯,中楼层(共22层),157,19252,共有
新城域花园，满五唯一，户型好，中下楼层,1室1厅,48.78平米,南,毛坯,低楼层(共28层),72,14761,非共有
业主诚心出售 精致两房 通透户型 楼层好 采光无遮挡,2室2厅,89.62平米,南,精装,高楼层(共16层),150,16738,共有
群星苑四区  两房朝南 业主诚意出售,2室1厅,72.56平米,南,简装,高楼层(共18层),180,24808,非共有
包衙前 控保 砖雕石库门 雕花 共10户人家 有钥匙,1室1厅,31.52平米,南,简装,低楼层(共2层),82.7,26231,非共有
世茂东壹号 精装双朝南两房 满五唯一 随时看房,2室2厅,86.54平米,南,精装,低楼层(共32层),161.5,18662,共有
看星湾一房，要读书，点这套，中间楼层，总价低,1室1厅,50.76平米,北,精装,中楼层(共29层),305,60087,非共有
金河雅苑 万科物业  楼层位置好 精装修拎包入住 有k,1室2厅,63.14平米,南,精装,高楼层(共23层),370,58600,非共有
夏驾园祥苑中间楼层精装婚房保养好带中车库,2室2厅,85.35平米,南,精装,中楼层(共7层),125,14646,共有
此房满两年，东边套，采光很好，也很安静。,4室2厅,143.02平米,南,精装,低楼层(共29层),218,15243,共有
长江花园二区 2室1厅 南,2室1厅,58.14平米,南,精装,中楼层(共5层),129,22188,非共有
满五不唯一   清水毛坯  诚心出售,2室2厅,98.77平米,南,毛坯,高楼层(共6层),126,12757,共有
满五年唯一,中间楼层采光好;户型方正;随时看房有钥匙,1室1厅,54.65平米,南,简装,中楼层(共11层),93,17018,共有
首付四十万裕元大两房，南北通透，拎包入住,2室2厅,100.24平米,南 北,精装,低楼层(共17层),165,16461,非共有
湖景赞！视野看大部分独墅湖，上方山！采光要带墨镜！,1室2厅,84.17平米,南,精装,中楼层(共30层),285,33861,非共有
黄浦君庭纯毛坯清水小三房 有钥匙 随时可看,3室1厅,82.96平米,南,毛坯,高楼层(共18层),122.9,14815,非共有
新小区，满二年，毛坯三房有钥匙,3室2厅,78.38平米,南,毛坯,低楼层(共27层),153,19521,共有
此房满两年 房东诚意出售，70产权，小户型，总价低,1室1厅,45.51平米,南,精装,低楼层(共25层),82,18019,非共有
首创满五唯一毛坯小三房房东诚心出售,3室2厅,96.04平米,南 北,简装,高楼层(共34层),160,16660,非共有
装修好，保养好，采光刺眼，看中来谈,4室2厅,125平米,南 北,精装,中楼层(共11层),380,30400,共有
花望新村精装2房诚心出售，拎包入住,2室2厅,88.11平米,南 北,精装,中楼层(共5层),168,19068,共有
水景丽舍 5室2厅 南,5室2厅,190.65平米,南,精装,4层,690,36192,非共有
此房户型通透方正，楼层好优雅安静，房东诚心出售,2室1厅,88.92平米,南,精装,中楼层(共33层),153,17207,共有
世茂东壹号景观楼层近地铁校门口双南毛坯房随时看房,2室2厅,88.77平米,南,毛坯,高楼层(共28层),150.9,16999,非共有
此房满两年，中间楼层，采光很好，通风好,2室2厅,66.54平米,南,精装,中楼层(共27层),130,19538,共有
金河国际华庭 三号轻轨 满2年 精装修自住拎包入住,3室2厅,125.01平米,北,精装,高楼层(共23层),529,42317,共有
绿色时光通透两房满五年唯 一近地铁口看房方便采光好,2室2厅,83.4平米,南 北,精装,中楼层(共5层),168.5,20204,共有
新上水香二村全新婚装两房 拎包入住 中等楼层 诚心卖,2室1厅,66.8平米,南,精装,中楼层(共6层),164,24551,共有
房东自住 保养得当 急售换房 房型正气,2室1厅,70.2平米,南,精装,中楼层(共5层),113,16097,共有
中间楼层，全明户型，带车库，诚心卖，价格可谈,2室2厅,65.79平米,南,简装,中楼层(共6层),148,22496,共有
满二年，俯瞰狮山遥望金鸡湖，视野好四房，位置优越,4室2厅,141.6平米,南 北,精装,高楼层(共34层),594,41950,共有
中海四区 难有出来的正四房 关键从未住 南北双阳台,4室2厅,142.53平米,南 北,精装,高楼层(共25层),699,49043,共有
满两年，楼层好。业主诚心出售，看房方便,2室2厅,84.19平米,南,毛坯,高楼层(共25层),145,17223,非共有
满五年唯一，老客户诚意委托，看房提前预约谢谢,2室2厅,94.5平米,南,精装,高楼层(共28层),180,19048,非共有
红杨花园 好楼层 东边套 毛坯,2室2厅,77.7平米,南,简装,中楼层(共5层),98,12613,共有
玖珑湾 精装修拎包入住  金鹰商圈，出行方便,2室2厅,92.53平米,南,精装,低楼层(共33层),221,23885,非共有
水城名邸 3室2厅 南,3室2厅,89.2平米,南,毛坯,低楼层(共11层),141,15808,共有
合生颐廷 3室2厅 南,3室2厅,92.18平米,南,毛坯,高楼层(共18层),142,15405,共有
新上桃花坞大街旁，独门独院小私房，总价底.,1室1厅,21.85平米,南,精装,低楼层(共1层),86.5,39589,非共有
户型方正 通透格局  精装修自住 小区楼栋位置好,2室2厅,87平米,南,精装,低楼层(共26层),133,15288,共有
多层一楼带独立大车库，两房朝南，满五年，诚心售。,2室1厅,60.7平米,南,精装,低楼层(共5层),136.5,22488,共有
小户型、大容量、精装修、带院子、满两年、税少,1室1厅,49.19平米,南,精装,低楼层(共11层),78,15857,共有
体育公园精装修大四房 楼层好 全天采光无遮挡诚意出售,4室2厅,143.74平米,南 北,精装,高楼层(共25层),689,47934,共有
两铁之间  南北通透  精装两房，品质之家,2室2厅,95.41平米,南 北,精装,低楼层(共32层),208,21801,共有
店长诚心推荐  本小区抢手户型  精装售卖,3室2厅,110.87平米,南 北,精装,中楼层(共20层),203,18310,共有
保利居上精装房，高楼层，视野佳,2室1厅,79平米,南,精装,22层,225,28482,共有
急售；好房带装修，南北通户型，车库，手慢无,2室2厅,82.9平米,南,简装,中楼层(共7层),137,16526,共有
满两年大两房， 地铁口，看房方便，精装全配！,2室2厅,85.4平米,南,精装,低楼层(共31层),144,16862,非共有
出门地铁口，全新毛坯，从未入住，看房有钥匙,3室2厅,110平米,南 北,毛坯,高楼层(共16层),258,23455,非共有
一期精装中间户 诚心出售 价格美丽 看房方便,3室2厅,88.26平米,南,精装,中楼层(共36层),219.5,24870,共有
二楼低楼层，采光好，新精装，适住好房,2室1厅,45.83平米,南,精装,中楼层(共5层),185,40367,共有
精装修俩房  近地铁  出行便利,2室2厅,97.72平米,南,精装,中楼层(共28层),145,14839,非共有
里河新村（五六七八村） 2室1厅 南,2室1厅,55.1平米,南,精装,中楼层(共6层),150,27224,共有
凤凰熙岸一期 典雅清晰 现代风格装修 南北房 采光充足,2室1厅,80.28平米,南,精装,中楼层(共20层),288,35875,共有
【（精装25万）边套户型 远离马路 3房2厅 户型方正】,3室2厅,86.64平米,南 北,精装,低楼层(共21层),188.8,21792,共有
精装修二楼 拎包入住 看房方便 换房诚心出售,1室1厅,28.1平米,南,简装,中楼层(共4层),75,26691,非共有
越湖名邸三期婚装二房 通透户型 近轻轨 出行方便,2室2厅,98平米,南 北,精装,中楼层(共9层),223.6,22817,非共有
精装修   中间楼层   房东诚心出售,2室1厅,70.87平米,南,精装,中楼层(共5层),190,26810,非共有
红树湾精装三房，小高层，中间楼层，看房方便,3室2厅,90.03平米,南,精装,中楼层(共10层),216,23993,共有
朝南住宅 风景河旁 环境优美 配套齐全 交通便利,2室2厅,112.34平米,南 西南,精装,高楼层(共24层),135,12018,非共有
花桥地铁口 稀+缺洋房 20万精装 给您一个温馨的家,2室2厅,84.67平米,南,精装,低楼层(共11层),172,20315,共有
新旅城二区 满五唯一 中间楼层 通透户型 采光好,2室2厅,89.68平米,南 北,精装,中楼层(共11层),201,22414,共有
成熟地段 双地铁4号线及在建中8号线 近繁花 万达商圈,2室2厅,72.24平米,南 北,精装,中楼层(共5层),165,22841,非共有
九方商圈 自住两房 70年产权  满五唯一 随时看房,2室2厅,78.25平米,北,精装,高楼层(共22层),104,13291,共有
电梯房源，两房朝南，业主诚心出售,2室1厅,64.81平米,南,精装,高楼层(共30层),122.6,18917,共有
单价低到可怜，可自由装修，房东急售！降价10万！！,2室1厅,83.16平米,南 北,简装,高楼层(共28层),169.5,20383,非共有
中式风带庭院，拎包入住，满五唯一税少，带老人房,4室2厅,204.49平米,南 北,精装,3层,460,22495,非共有
房东诚心出售    满五唯一   交通特方便,2室2厅,89.73平米,南 北,精装,中楼层(共7层),127.5,14210,共有
强烈推荐给，江景房，业主诚心出售，95平米，随时看房,3室2厅,94.87平米,南 北,精装,高楼层(共18层),165,17393,共有
南向两房 精装修 满两年 楼层好 诚意出售,2室1厅,96.01平米,南,精装,25层,369,38427,共有
鑫苑国际全南户型    精装修  满五唯一  无贷款,2室1厅,89.58平米,南,精装,高楼层(共33层),145,16187,非共有
满五 护城河畔 领秀江南 风景独秀  诚售,2室2厅,71.81平米,南,精装,中楼层(共6层),215,29941,非共有
合景七期超大双阳台婚装三房两卫拎包入住业主置换急售,3室2厅,96.82平米,南,精装,低楼层(共18层),263,27164,共有
双平江 满五唯一 中间楼层 诚心出售 总价低 位置好,1室1厅,40.68平米,南,简装,中楼层(共6层),99,24337,共有
东环高架 地铁口旁 富华苑 精装小两房 刚需看过来,2室1厅,61.57平米,南,精装,6层,167.9,27270,非共有
青剑湖经典一房 精装修自住的 楼层位置好 诚心出售,1室1厅,46.32平米,南,精装,中楼层(共4层),123,26555,共有
满五唯一 小三房 毛坯价格急售 有钥匙 随时约 好谈,3室2厅,95.19平米,南 北,简装,高楼层(共12层),136,14288,非共有
房东置换急卖  装修很清新 可以拎包入住,3室1厅,84.85平米,南,精装,高楼层(共5层),126,14850,共有
好房推荐  绿地精装洋房顶楼复式，带露台实用面积100+,3室2厅,55.19平米,南,精装,高楼层(共6层),150,27179,非共有
锦绣江南洋房两房，套内使用面积高，诚心出售,2室2厅,91.37平米,南,精装,中楼层(共6层),186,20357,非共有
税费少实用面积大、三室二厅二卫带汽车库，只要136万,3室2厅,102.42平米,南,简装,高楼层(共5层),136,13279,共有
枫情佳苑电梯小三室东边间拎包入住,3室2厅,89.3平米,东南,精装,中楼层(共11层),112,12542,共有
户型好 +两房南+ 精装地暖+近地铁商超+诚售,2室1厅,83.25平米,南 北,精装,中楼层(共31层),256,30751,非共有
金都安亭家园三房，精装修，看房随时,3室2厅,126.83平米,南,精装,中楼层(共5层),272.7,21502,共有
万达华府 三房 业主换房 降价急卖 精装修,3室2厅,80.9平米,南,精装,高楼层(共30层),208,25711,共有
浒墅人家一区精装小户 已做两房 满5年唯一随时看房,2室1厅,70.39平米,南,精装,中楼层(共17层),136,19321,共有
蝴蝶湾南苑 新上精装两房 楼层位置好 业主诚意出售,2室2厅,98.49平米,南,精装,高楼层(共31层),369,37466,非共有
山塘街地铁口经典2房带小院子出行方便生活便利,2室1厅,56.39平米,南,简装,低楼层(共5层),118,20926,共有
满2年 视野开阔，采光充足，两房朝南，产权清晰,2室1厅,58.66平米,南,毛坯,中楼层(共5层),119,20287,非共有
此房满五年唯一，三开间朝南,位置好，房东急售,2室2厅,94.87平米,南,精装,低楼层(共16层),195,20555,共有
满五唯一，精装，家具家电齐全，看房随时，中间楼层。,2室2厅,88.62平米,南,精装,高楼层(共9层),178.8,20177,共有
梅亭苑中间楼层，采光好，出行方便，配套齐全,2室2厅,78.63平米,南,简装,中楼层(共5层),172,21875,非共有
精装自住，城投开发，电梯房采光楼层，玉峰南+娄江！,2室2厅,84.38平米,南,精装,高楼层(共21层),143,16948,非共有
一线湖景洋房 好楼层 视野好 价格诚购可议,3室1厅,98.42平米,南,毛坯,中楼层(共7层),107,10872,共有
本小区唯一中间楼层 精装诚心出售,2室2厅,64.95平米,南,精装,6层,159,24481,共有
淞泽九区，精装两房，位置好，采光足,2室1厅,61.1平米,南 北,精装,中楼层(共4层),159.8,26154,共有
房东诚心卖，已租看房要提前预约。,2室1厅,78.57平米,南,精装,低楼层(共6层),87,11073,非共有
此房满二唯一， 精装修三房，户型方正,3室2厅,94.67平米,南,精装,低楼层(共18层),153,16162,非共有
此房满五唯一精装修楼层好近地铁带车库诚心出售,2室2厅,86.85平米,南 北,精装,低楼层(共6层),178,20496,共有
风尚，新装修两居，拎包入住，总价低，格局正看房方便,2室2厅,84.53平米,南,精装,低楼层(共18层),558,66013,非共有
周生推荐 11号线地铁口大3房 中间楼层 采光视野好,3室2厅,116.34平米,南 北,精装,高楼层(共18层),208,17879,共有
南北通全明户型 满五年唯一 随时看房,2室2厅,80.09平米,南 北,精装,低楼层(共25层),145,18105,共有
此房楼层好，视野开阔，精装修，保养好，诚心出售,2室2厅,80.99平米,南,精装,中楼层(共26层),189.5,23398,非共有
业主诚意出售，精准三房 满两年 楼层位置好,3室2厅,106.37平米,南,精装,高楼层(共24层),528,49639,共有
香漫雅园，中间楼层满两年，装修好入住不到两年！,3室2厅,87.68平米,南 北,精装,低楼层(共34层),211,24065,共有
国香雅苑 精装通透两房 采光刺眼 房东诚心,3室2厅,98.34平米,南,简装,中楼层(共5层),202,20541,共有
视野采光都很好，房子精装修，房东诚意出售,2室2厅,56.28平米,南,精装,高楼层(共12层),75,13327,非共有
何山花园多层3楼 双阳台 朝南大两房 满两年 诚心出售,2室2厅,88.28平米,南,精装,中楼层(共6层),295,33417,共有
摩卡小镇低总价毛坯两房，中间楼栋，景观楼层,2室2厅,84.12平米,南,毛坯,高楼层(共18层),128,15217,共有
金鸡湖边晋合高品质70年住宅独立管理24小时安保,2室2厅,88.39平米,东,精装,18层,450,50911,共有
澳韵花园 南北两房 保养新 拎包入住 满五年唯一！,2室2厅,79.33平米,南 北,精装,11层,355,44750,共有
